"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?"
"youthreport2_psqi5j","youth_report_2",,"dropdown","Are there other reasons you have had trouble sleeping in the past month?","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pssqi5jb","youth_report_2",,"text","Please describe other reasons why you have had trouble sleeping.",,,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_psqi5jc","youth_report_2",,"dropdown","How often during the past month have you had trouble sleeping because of this?","1, Not during the past month | 2, Less than once a week | 3, Once or twice a week | 4, Three or more times a week",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_psqi6","youth_report_2",,"dropdown","During the past month, how would you rate your sleep quality overall?","1, Very good | 2, Fairly good | 3, Fairly bad | 4, Very bad",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_psqi_set3_psqi7","youth_report_2","Please answer each of the following.","dropdown","During the past month, how often have you taken medicine to help you sleep (prescribed or ""over the counter"")?","1, Not during the past month | 2, Less than once a week | 3, Once or twice a week | 4, Three or more times a week",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_psqi_set3_psqi8","youth_report_2",,"dropdown","During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","1, Not during the past month | 2, Less than once a week | 3, Once or twice a week | 4, Three or more times a week",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_psqi9","youth_report_2",,"dropdown","During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?","1, No problem at all | 2, Only a very slight problem | 3, Somewhat of a problem | 4, A very big problem",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set1_casq1","youth_report_2","We would like to know about when you might feel sleepy during a usual week. For each statement, choose the response that best fits with how often it applies to you. It's important to answer them yourself. There are no right or wrong answers.","dropdown","I fall asleep during my morning classes.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set1_casq2","youth_report_2",,"dropdown","I go through the whole school day without feeling tired.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set1_casq3","youth_report_2",,"dropdown","I fall asleep during the last class of the day.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set1_casq4","youth_report_2",,"dropdown","I feel drowsy if I ride in a car for longer than five minutes.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set1_casq5","youth_report_2",,"dropdown","I feel wide-awake the whole day.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set1_casq6","youth_report_2",,"dropdown","I fall asleep at school in my afternoon classes.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set2_casq7","youth_report_2","For each statement, choose the response that best fits with how often it applies to you.","dropdown","I feel alert during my classes.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set2_casq8","youth_report_2",,"dropdown","I feel sleepy in the evening after school.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set2_casq9","youth_report_2",,"dropdown","I feel sleepy when I ride in a bus to school.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set2_casq10","youth_report_2",,"dropdown","In the morning when I am in school, I fall asleep.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set2_casq11","youth_report_2",,"dropdown","When I am in class, I am wide-awake.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set2_casq12","youth_report_2",,"dropdown","I feel sleepy when I do my homework in the evening after school.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set3_casq13","youth_report_2",,"dropdown","I feel wide-awake the last class of the day.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set3_casq14","youth_report_2",,"dropdown","I fall asleep when I ride in a bus, car, or train.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set3_casq15","youth_report_2",,"dropdown","During the school day, there are times when I realize that I have just fallen asleep.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_casq_set3_casq16","youth_report_2",,"dropdown","I fall asleep when I do schoolwork at home in the evening.","00, Never (0 times per month) | 01, Rarely (less than 3 times per month) | 02, Sometimes (1-2 times per week) | 03, Often (3-4 times per week) | 04, Almost every day (5 or more times per week)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm1","youth_report_2",,"dropdown","Considering only your own 'feeling best' rhythm, at what time would you get up if you were entirely free to plan your day?","1, 5:00 - 6:30 a.m. | 2, 6:30 - 7:45 a.m. | 3, 7:45 - 9:45 a.m. | 4, 9:45 - 11:00 a.m. | 5, 11:00 a.m. - 12:00 (noon)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm2","youth_report_2",,"dropdown","Considering only your 'feeling best' rhythm, at what time would you go to bed if you were entirely free to plan your evening?","1, 8:00 - 9:00 p.m. | 2, 9:00 - 10:15 p.m. | 3, 10:15 p.m. - 12:30 a.m. | 4, 12:30 - 1:45 a.m. | 5, 1:45 - 3:00 a.m.",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm3","youth_report_2",,"dropdown","Assuming normal circumstance, how easy do you find getting up in the morning?","1, Not at all easy | 2, Slightly easy | 3, Fairly easy | 4, Very easy",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm4","youth_report_2",,"dropdown","How alert do you feel during the first half hour after having awakened in the morning?","1, Not at all alert | 2, Slightly alert | 3, Fairly alert | 4, Very alert",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm5","youth_report_2",,"dropdown","During the first half hour after having awakened in the morning, how tired do you feel?","1, Very tired | 2, Fairly tired | 3, Fairly refreshed | 4, Very refreshed",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm6","youth_report_2",,"dropdown","You have decided to engage in some physical exercise. A friend suggests that you do this one hour twice a week and the best time for him is 7:00-8:00 a.m. Bearing in mind nothing else but your own ""feeling best"" rhythm, how do you think you would perform?","1, Would be in good form | 2, Would be in reasonable form | 3, Would find it difficult | 4, Would find it very difficult",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm7","youth_report_2",,"dropdown","At what time in the evening do you feel tired and, as a result, in need of sleep?","1, 8:00 - 9:00 p.m. | 2, 9:00 - 10:15 p.m. | 3, 10:15 p.m. - 12:30 a.m. | 4, 12:30 a.m. - 1:45 a.m. | 5, 1:45 a.m. - 3:00 a.m.",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm8","youth_report_2",,"dropdown","You wish to be at your peak performance for a test which you know is going to be mentally exhausting and lasting for two hours. You are entirely free to plan your day, and considering only your own ""feeling best"" rhythm, which ONE of the four testing times would you choose?","1, 8:00 - 10:00 a.m. | 2, 11:00 a.m. - 1:00 p.m. | 3, 3:00 - 5:00 p.m. | 4, 7:00 - 9:00 p.m.",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm9","youth_report_2",,"dropdown","One hears about 'morning' and 'evening' types of people. Which ONE of these types do you consider yourself to be?","1, Definitely a morning type | 2, More a morning than an evening type | 3, More an evening than a morning type | 4, Definitely an evening type",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm10","youth_report_2",,"dropdown","When would you prefer to rise (provided you have a full day's work - 8 hours) if you were totally free to arrange your time?","1, Before 6:30 a.m. | 2, 6:30 - 7:30 a.m. | 3, 7:30 - 8:30 a.m. | 4, 8:30 a.m. - or later",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm11","youth_report_2",,"dropdown","If you always had to rise at 6:00 a.m., what do you think it would be like?","1, Very difficult and unpleasant | 2, Rather difficult and unpleasant | 3, A little unpleasant but no great problem | 4, Easy and not unpleasant",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm12","youth_report_2",,"dropdown","How long a time does it usually take before you 'recover your sense' in the morning after rising from a night's sleep?","1, 0-10 minutes | 2, 11-20 minutes | 3, 21-40 minutes | 4, More than 40 minutes",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_scsm13","youth_report_2",,"dropdown","Please indicate to what extent you are a morning or evening active individual.","1, Pronounced morning active (morning alert and evening tired) | 2, To some extent, morning active | 3, To some extent, evening active | 4, Pronounced evening active (morning tired and evening alert)",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsf1","youth_report_2",,"dropdown","Would you say that your growth in height:","1, has not yet begun to spurt | 2, has barely started | 3, is definitely underway | 4, seems completed",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsf2","youth_report_2",,"dropdown","And how about your growth of your body hair? ('Body hair' means hair any place other than your head, such as your underarms.)

	Would you say that your body hair growth:","1, has not yet begun to grow | 2, has barely started to grow | 3, is definitely underway | 4, seems completed",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsf3","youth_report_2",,"dropdown","Have you noticed any skin changes, especially pimples?","1, skin has not yet started changing | 2, skin has barely started changing | 3, skin changes are definitely underway | 4, skin changes seems complete",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsf4","youth_report_2",,"dropdown","Have you noticed that your breasts have begun to grow?","1, have not yet started growing | 2, have barely started growing | 3, breast growth is definitely underway | 4, breast growth seems complete",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsf5a","youth_report_2",,"dropdown","Have you begun to menstruate (started to have your period)?","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsf5b","youth_report_2",,"text","How old were you when you started to menstruate? Age in years:",,,"number",,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsm1","youth_report_2",,"dropdown","Would you say that your growth in height:","1, has not yet begun to spurt | 2, has barely started | 3, is definitely underway | 4, seems completed",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsm2","youth_report_2",,"dropdown","And how about the growth of your body hair? ('Body hair' means hair in any place other than your head, such as under your arms).

	Would you say that your body hair growth:","1, has not yet begun to grow | 2, has barely started to grow | 3, is definitely underway | 4, seems completed",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsm3","youth_report_2",,"dropdown","Have you noticed any skin changes, especially pimples?","1, skin has not yet started changing | 2, skin has barely started changing | 3, skin changes are definitely underway | 4, skin changes seem complete",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsm4","youth_report_2",,"dropdown","Have you noticed a deepening of your voice?","1, voice has not yet started changing | 2, voice has barely started changing | 3, voice changes are definitely underway | 4, voice changes seem complete",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_pdsm5","youth_report_2",,"dropdown","Have you begun to grow hair on your face?","1, facial hair has not yet started growing | 2, facial hair has barely started growing | 3, facial hair has definitely started | 4, facial hair growth seems complete",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_sise","youth_report_2","On a 5-point scale from 1 (not very true of me) to 5 (very true of me):

	 

	'I have high self-esteem.'","text",,,,"number",,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec1_upps4","youth_report_2","Below are a number of statements that describe ways in which people act and think. For each statement, please indicate how much you agree or disagree with the statement.","dropdown","I generally like to see things through to the end.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec1_upps5","youth_report_2",,"dropdown","My thinking is usually careful and purposeful.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec1_upps10","youth_report_2",,"dropdown","When I am in a great mood, I tend to get into situations that could cause me problems.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec1_upps14","youth_report_2",,"dropdown","Unfinished tasks really bother me.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec1_upps16","youth_report_2",,"dropdown","I like to stop and think things over before I do them.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec2_upps17","youth_report_2",,"dropdown","When I feel bad, I will often do things I later regret in order to make myself feel better now.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec2_upps19","youth_report_2",,"dropdown","Once I get going on something I hate to stop.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec2_upps20","youth_report_2",,"dropdown","I tend to lose control when I am in a great mood.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec2_upps22","youth_report_2",,"dropdown","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec2_upps23","youth_report_2",,"dropdown","I quite enjoy taking risks.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec3_upps27","youth_report_2",,"dropdown","I finish what I start.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec3_upps28","youth_report_2",,"dropdown","I tend to value and follow a rational, 'sensible' approach to things.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec3_upps29","youth_report_2",,"dropdown","When I am upset I often act without thinking.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec3_upps31","youth_report_2",,"dropdown","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec3_upps34","youth_report_2",,"dropdown","When I feel rejected, I will often say things I later regret.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec4_upps35","youth_report_2",,"dropdown","Others are shocked or worried about the things I do when I am feeling very excited.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec4_upps36","youth_report_2",,"dropdown","I would like to learn to fly an airplane.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec4_upps46","youth_report_2",,"dropdown","I would enjoy the sensation of skiing very fast down a high mountain slope.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec4_upps48","youth_report_2",,"dropdown","I usually think carefully before doing anything.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_upps_sec4_upps52","youth_report_2",,"dropdown","I tend to act without thinking when I am really excited.","1, Agree Strongly | 2, Agree Somewhat | 3, Disagree Somewhat | 4, Disagree Strongly",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa1","youth_report_2","If the event happened to you or your family during this past year, please answer yes.  If the event did not happen to you or your family during this past year, please answer no.","dropdown","I have a new brother or sister who was born during the past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa2","youth_report_2",,"dropdown","Our family moved to a new home or apartment during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa3","youth_report_2",,"dropdown","My brother or sister became seriously ill or was injured during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa4","youth_report_2",,"dropdown","During this past year, one of my parents became seriously ill or was injured.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa6","youth_report_2",,"dropdown","I was a victim of violence (mugging, sexual assault, robbery) during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa7","youth_report_2",,"dropdown","A member of my family was a victim of violence (mugging, sexual assault, robbery) during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set1_leaqa8","youth_report_2",,"dropdown","During the past year, one of my parents died.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa9","youth_report_2",,"dropdown","A brother or sister died during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa10","youth_report_2",,"dropdown","A grandparent died during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa11","youth_report_2",,"dropdown","Someone else close to me (child, husband/wife, friend, etc.) died during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa12","youth_report_2",,"dropdown","Another adult has come to live with my family during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa13","youth_report_2",,"dropdown","During this past year, I ran away from home.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa14","youth_report_2",,"dropdown","A member of my family ran away from home during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set2_leaqa15","youth_report_2",,"dropdown","My parents separated during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa16","youth_report_2",,"dropdown","My parents divorced during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa17","youth_report_2",,"dropdown","One of my parents remarried during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa19","youth_report_2",,"dropdown","I had at least one outstanding personal achievement this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa21","youth_report_2",,"dropdown","I was voted or appointed to a leadership position during this past year (for example, class office, team captain, etc.)","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa22","youth_report_2",,"dropdown","I received a special award (ribbon, trophy, plaque, certificate, etc.) for something done at school during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa23","youth_report_2",,"dropdown","I received a special award for some activity outside of school during this past year (ribbon, trophy, plaque, certificate, etc.)","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set3_leaqa24","youth_report_2",,"dropdown","I received special recognition for athletic competition during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_f_leaqaf25","youth_report_2",,"dropdown","I did not get into a group or activity that I wanted to get into (music group, sports team, theater, etc.) during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_f_leaqaf26","youth_report_2",,"dropdown","I failed a grade or was 'held back' during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_f_leaqaf27","youth_report_2",,"dropdown","During this past year, I did much worse than I expected on an important exam or in a course.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_f_leaqaf28","youth_report_2",,"dropdown","I was threatened with suspension or was suspended from school at least once during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_f_leaqa29","youth_report_2",,"dropdown","During the past year I became pregnant","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_f_leaqaf31","youth_report_2",,"dropdown","An unmarried family member became pregnant during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_m_leaqam25","youth_report_2",,"dropdown","I did not get into a group or activity that I wanted to get into (music group, sports team, theater, etc.) during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_m_leaqam26","youth_report_2",,"dropdown","I failed a grade or was 'held back' during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_m_leaqam27","youth_report_2",,"dropdown","During this past year, I did much worse than I expected on an important exam or in a course.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_m_leaqam28","youth_report_2",,"dropdown","I was threatened with suspension or was suspended from school at least once during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_m_leaqa30","youth_report_2",,"dropdown","I got someone pregnant during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set4_m_leaqam31","youth_report_2",,"dropdown","An unmarried family member became pregnant during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa33","youth_report_2",,"dropdown","During this past year, one of my parents had problems at work (demotion, trouble with boss or co-workers, etc.)","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa34","youth_report_2",,"dropdown","One parent lost his or her job during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa32","youth_report_2",,"dropdown","My mother began to work some time during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa36","youth_report_2",,"dropdown","The family financial situation was difficult during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa37","youth_report_2",,"dropdown","The family had funds cut off by some government agency during this past year (for example: welfare, food stamps, AFDC, disability, etc.)","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa38","youth_report_2",,"dropdown","My family was evicted from a house or apartment during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set5_leaqa39","youth_report_2",,"dropdown","During this past year I had many arguments with brother(s) and / or sister(s).","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa40","youth_report_2",,"dropdown","I had many arguments with my parent(s) during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa42","youth_report_2",,"dropdown","During this past year, my parent(s) and I had many arguments over my choice of friends and/or social activities such as use of the car or hours to stay out.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa43","youth_report_2",,"dropdown","There were many arguments between adults (parents, relative, etc.) living in my house during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa44","youth_report_2",,"dropdown","There were many arguments between a parent and a former or separated spouse during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa45","youth_report_2",,"dropdown","I was not accepted by other people my age during this past year.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa46","youth_report_2",,"dropdown","During this past year, I had suicidal thoughts.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
"youthreport2_leaqa_set6_leaqa48","youth_report_2",,"dropdown","During this past year, a member of my family attempted suicide.","1, Yes | 0, No",,,,,,"[youthreport2_missing] != '1'",,,,,
