survey_var,evioni_var,description,test,values,notes
CPFD_A.CPFD_TN,CPFD.CPFDTN,CPFD True Negatives,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_FP,CPFD.CPFDFP,CPFD False Positives,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_FN,CPFD.CPFDFN,CPFD False Negatives,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TPRT,CPFD.CPFDTPRT,CPFD True Positives Median Response Time (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TNRT,CPFD.CPFDTNRT,CPFD True Negatives Median Response Time (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_FPRT,CPFD.CPFDFPRT,CPFD False Positives Median Response Time (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_FNRT,CPFD.CPFDFNRT,CPFD False Negatives Median Response Time (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_CR,CPFD.DFAC_TOT,CPFD Total Correct Responses,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_RTCR,CPFD.DFAC_RTC,CPFD Median Total Correct Response Time (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_W_RTCR,,Weighted Median Response Time for Correct Responses (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_ER,,Total Incorrect Responses,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_RTER,,Median Response Time for Incorrect Responses (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_W_RTER,,Weighted Median Response Time for Incorrect Responses (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_RT,,Median Response Time for All Responses (ms),Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000001_RESP,CPFD.q1_resp,Response for trial 1,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000001_TTR,CPFD.q1_ttr,Time to respond (ms) for trial 1,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000001_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000001_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000001_CORR,CPFD.q1_corr,Response correct for trial 1,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000002_RESP,CPFD.q2_resp,Response for trial 2,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000002_TTR,CPFD.q2_ttr,Time to respond (ms) for trial 2,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000002_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000002_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000002_CORR,CPFD.q2_corr,Response correct for trial 2,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000003_RESP,CPFD.q3_resp,Response for trial 3,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000003_TTR,CPFD.q3_ttr,Time to respond (ms) for trial 3,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000003_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000003_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000003_CORR,CPFD.q3_corr,Response correct for trial 3,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000004_RESP,CPFD.q4_resp,Response for trial 4,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000004_TTR,CPFD.q4_ttr,Time to respond (ms) for trial 4,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000004_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000004_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000004_CORR,CPFD.q4_corr,Response correct for trial 4,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000005_RESP,CPFD.q5_resp,Response for trial 5,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000005_TTR,CPFD.q5_ttr,Time to respond (ms) for trial 5,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000005_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000005_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000005_CORR,CPFD.q5_corr,Response correct for trial 5,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000006_RESP,CPFD.q6_resp,Response for trial 6,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000006_TTR,CPFD.q6_ttr,Time to respond (ms) for trial 6,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000006_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000006_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000006_CORR,CPFD.q6_corr,Response correct for trial 6,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000007_RESP,CPFD.q7_resp,Response for trial 7,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000007_TTR,CPFD.q7_ttr,Time to respond (ms) for trial 7,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000007_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000007_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000007_CORR,CPFD.q7_corr,Response correct for trial 7,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000008_RESP,CPFD.q8_resp,Response for trial 8,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000008_TTR,CPFD.q8_ttr,Time to respond (ms) for trial 8,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000008_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000008_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000008_CORR,CPFD.q8_corr,Response correct for trial 8,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000009_RESP,CPFD.q9_resp,Response for trial 9,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000009_TTR,CPFD.q9_ttr,Time to respond (ms) for trial 9,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000009_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000009_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000009_CORR,CPFD.q9_corr,Response correct for trial 9,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000010_RESP,CPFD.q10_resp,Response for trial 10,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000010_TTR,CPFD.q10_ttr,Time to respond (ms) for trial 10,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000010_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000010_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000010_CORR,CPFD.q10_corr,Response correct for trial 10,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000011_RESP,CPFD.q11_resp,Response for trial 11,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000011_TTR,CPFD.q11_ttr,Time to respond (ms) for trial 11,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000011_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000011_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000011_CORR,CPFD.q11_corr,Response correct for trial 11,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000012_RESP,CPFD.q12_resp,Response for trial 12,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000012_TTR,CPFD.q12_ttr,Time to respond (ms) for trial 12,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000012_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000012_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000012_CORR,CPFD.q12_corr,Response correct for trial 12,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000013_RESP,CPFD.q13_resp,Response for trial 13,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000013_TTR,CPFD.q13_ttr,Time to respond (ms) for trial 13,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000013_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000013_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000013_CORR,CPFD.q13_corr,Response correct for trial 13,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000014_RESP,CPFD.q14_resp,Response for trial 14,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000014_TTR,CPFD.q14_ttr,Time to respond (ms) for trial 14,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000014_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000014_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000014_CORR,CPFD.q14_corr,Response correct for trial 14,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000015_RESP,CPFD.q15_resp,Response for trial 15,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000015_TTR,CPFD.q15_ttr,Time to respond (ms) for trial 15,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000015_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000015_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000015_CORR,CPFD.q15_corr,Response correct for trial 15,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000016_RESP,CPFD.q16_resp,Response for trial 16,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000016_TTR,CPFD.q16_ttr,Time to respond (ms) for trial 16,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000016_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000016_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000016_CORR,CPFD.q16_corr,Response correct for trial 16,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000017_RESP,CPFD.q17_resp,Response for trial 17,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000017_TTR,CPFD.q17_ttr,Time to respond (ms) for trial 17,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000017_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000017_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000017_CORR,CPFD.q17_corr,Response correct for trial 17,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000018_RESP,CPFD.q18_resp,Response for trial 18,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000018_TTR,CPFD.q18_ttr,Time to respond (ms) for trial 18,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000018_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000018_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000018_CORR,CPFD.q18_corr,Response correct for trial 18,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000019_RESP,CPFD.q19_resp,Response for trial 19,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000019_TTR,CPFD.q19_ttr,Time to respond (ms) for trial 19,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000019_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000019_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000019_CORR,CPFD.q19_corr,Response correct for trial 19,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000020_RESP,CPFD.q20_resp,Response for trial 20,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000020_TTR,CPFD.q20_ttr,Time to respond (ms) for trial 20,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000020_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000020_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000020_CORR,CPFD.q20_corr,Response correct for trial 20,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000021_RESP,CPFD.q21_resp,Response for trial 21,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000021_TTR,CPFD.q21_ttr,Time to respond (ms) for trial 21,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000021_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000021_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000021_CORR,CPFD.q21_corr,Response correct for trial 21,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000022_RESP,CPFD.q22_resp,Response for trial 22,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000022_TTR,CPFD.q22_ttr,Time to respond (ms) for trial 22,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000022_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000022_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000022_CORR,CPFD.q22_corr,Response correct for trial 22,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000023_RESP,CPFD.q23_resp,Response for trial 23,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000023_TTR,CPFD.q23_ttr,Time to respond (ms) for trial 23,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000023_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000023_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000023_CORR,CPFD.q23_corr,Response correct for trial 23,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000024_RESP,CPFD.q24_resp,Response for trial 24,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000024_TTR,CPFD.q24_ttr,Time to respond (ms) for trial 24,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000024_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000024_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000024_CORR,CPFD.q24_corr,Response correct for trial 24,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000025_RESP,CPFD.q25_resp,Response for trial 25,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000025_TTR,CPFD.q25_ttr,Time to respond (ms) for trial 25,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000025_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000025_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000025_CORR,CPFD.q25_corr,Response correct for trial 25,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000026_RESP,CPFD.q26_resp,Response for trial 26,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000026_TTR,CPFD.q26_ttr,Time to respond (ms) for trial 26,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000026_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000026_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000026_CORR,CPFD.q26_corr,Response correct for trial 26,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000027_RESP,CPFD.q27_resp,Response for trial 27,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000027_TTR,CPFD.q27_ttr,Time to respond (ms) for trial 27,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000027_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000027_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000027_CORR,CPFD.q27_corr,Response correct for trial 27,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000028_RESP,CPFD.q28_resp,Response for trial 28,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000028_TTR,CPFD.q28_ttr,Time to respond (ms) for trial 28,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000028_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000028_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000028_CORR,CPFD.q28_corr,Response correct for trial 28,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000029_RESP,CPFD.q29_resp,Response for trial 29,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000029_TTR,CPFD.q29_ttr,Time to respond (ms) for trial 29,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000029_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000029_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000029_CORR,CPFD.q29_corr,Response correct for trial 29,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000030_RESP,CPFD.q30_resp,Response for trial 30,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000030_TTR,CPFD.q30_ttr,Time to respond (ms) for trial 30,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000030_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000030_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000030_CORR,CPFD.q30_corr,Response correct for trial 30,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000031_RESP,CPFD.q31_resp,Response for trial 31,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000031_TTR,CPFD.q31_ttr,Time to respond (ms) for trial 31,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000031_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000031_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000031_CORR,CPFD.q31_corr,Response correct for trial 31,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000032_RESP,CPFD.q32_resp,Response for trial 32,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000032_TTR,CPFD.q32_ttr,Time to respond (ms) for trial 32,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000032_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000032_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000032_CORR,CPFD.q32_corr,Response correct for trial 32,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000033_RESP,CPFD.q33_resp,Response for trial 33,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000033_TTR,CPFD.q33_ttr,Time to respond (ms) for trial 33,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000033_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000033_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000033_CORR,CPFD.q33_corr,Response correct for trial 33,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000034_RESP,CPFD.q34_resp,Response for trial 34,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000034_TTR,CPFD.q34_ttr,Time to respond (ms) for trial 34,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000034_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000034_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000034_CORR,CPFD.q34_corr,Response correct for trial 34,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000035_RESP,CPFD.q35_resp,Response for trial 35,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000035_TTR,CPFD.q35_ttr,Time to respond (ms) for trial 35,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000035_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000035_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000035_CORR,CPFD.q35_corr,Response correct for trial 35,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000036_RESP,CPFD.q36_resp,Response for trial 36,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000036_TTR,CPFD.q36_ttr,Time to respond (ms) for trial 36,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000036_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000036_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000036_CORR,CPFD.q36_corr,Response correct for trial 36,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000037_RESP,CPFD.q37_resp,Response for trial 37,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000037_TTR,CPFD.q37_ttr,Time to respond (ms) for trial 37,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000037_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000037_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000037_CORR,CPFD.q37_corr,Response correct for trial 37,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000038_RESP,CPFD.q38_resp,Response for trial 38,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000038_TTR,CPFD.q38_ttr,Time to respond (ms) for trial 38,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000038_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000038_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000038_CORR,CPFD.q38_corr,Response correct for trial 38,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000039_RESP,CPFD.q39_resp,Response for trial 39,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000039_TTR,CPFD.q39_ttr,Time to respond (ms) for trial 39,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000039_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000039_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000039_CORR,CPFD.q39_corr,Response correct for trial 39,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000040_RESP,CPFD.q40_resp,Response for trial 40,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000040_TTR,CPFD.q40_ttr,Time to respond (ms) for trial 40,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000040_TRIAL,,Trial Order of Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000040_QID,,Question ID for Stimuli Presented,Penn Facial Memory Test - Delayed Version,,
CPFD_A.CPFD_TRIAL000040_CORR,CPFD.q40_corr,Response correct for trial 40,Penn Facial Memory Test - Delayed Version,,
CPW_A.ScorVers,CPW,Current Programming Version of the Scoring Code,Penn Word Memory Test,,
